text,label
"NASA announced that the James Webb Space Telescope has captured new images of a distant exoplanet.",real
"The Reserve Bank of India confirmed that inflation rates have dropped for the third consecutive month.",real
"Doctors warn that drinking cold water after eating oily food can cause cancer.",fake
"The Indian Railways introduced a new high-speed route between Delhi and Jaipur.",real
"Scientists say that rubbing garlic on your feet allows you to taste it in your mouth instantly.",fake
"A viral message claims that WhatsApp will start charging users from next week.",fake
"The Ministry of Health reported that vaccination rates have increased significantly this year.",real
"Drinking warm water every 30 minutes can instantly kill all viral infections.",fake
"ISRO announced the successful testing of its reusable launch vehicle prototype.",real
"Social media posts claim that eating bananas at night causes permanent brain damage.",fake
"Google announced updates to its AI tools, improving translation accuracy.",real
"An online rumor says the moon will turn green due to a rare planet alignment.",fake
"India recorded a significant rise in renewable energy production this year.",real
"A fake website claims that the government is giving every citizen ₹50,000 as a secret relief fund.",fake
"WHO announced new research showing global life expectancy has improved.",real
"A viral claim says placing onions in your socks can remove toxins from your body.",fake
"The Supreme Court issued a new guideline regarding digital privacy protection.",real
"Facebook will delete all inactive accounts unless users pay a subscription fee.",fake
"New studies show that ocean temperatures have risen due to climate change.",real
"A message circulating online claims that laptops emit harmful rays that dissolve bones.",fake
